step,model,loss_function,recall@5_mean,recall@10_mean,recall@5_text_to_image,recall@5_image_to_text,recall@10_text_to_image,recall@10_image_to_text,num_samples,loss,loss_type
0,ViT-B-16,contrastive,0.47185,0.58615,0.4638,0.4799,0.5796,0.5927,6912,4.870902,clip_contrastive
0,ViT-B-16-SigLIP2-256,contrastive,0.51130,0.61845,0.5297,0.4929,0.6345,0.6024,6912,3.592640,clip_contrastive
0,ViT-B-16-SigLIP2-256,siglip,0.51130,0.61845,0.5297,0.4929,0.6345,0.6024,6912,3.592640,siglip_bce
0,ViT-B-32,contrastive,0.41545,0.52805,0.4116,0.4193,0.5220,0.5341,6912,5.188303,clip_contrastive
500,ViT-B-16,contrastive,0.5685040509259259,0.6856915509259259,0.56640625,0.5706018518518519,0.6827256944444444,0.6886574074074074,6912,3.448540449142456,clip_contrastive
500,ViT-B-16-SigLIP2-256,contrastive,0.5930266203703705,0.709056713,0.5944733796296297,0.5915798611111112,0.7119502314814815,0.7061631944444444,6912,3.334202289581299,clip_contrastive
500,ViT-B-16-SigLIP2-256,siglip,0.5964988425925926,0.7107928240740741,0.6008391203703703,0.5921585648148148,0.7171585648148148,0.7044270833333334,6912,0.007431035,siglip_bce
500,ViT-B-32,contrastive,0.5016637731481481,0.6199363425925926,0.4986979166666667,0.5046296296296297,0.6166087962962963,0.6232638888888888,6912,3.751337766647339,clip_contrastive
1000,ViT-B-16,contrastive,0.5894097222222222,0.7068142361111112,0.5946180555555556,0.5842013888888888,0.7110821759259259,0.7025462962962963,6912,3.3751425743103027,clip_contrastive
1000,ViT-B-16-SigLIP2-256,contrastive,0.623046875,0.7389322916666667,0.6245659722222222,0.6215277777777778,0.7397280092592593,0.7381365740740741,6912,3.1641669273376465,clip_contrastive
1000,ViT-B-16-SigLIP2-256,siglip,0.626953125,0.7415364583333333,0.6310763888888888,0.6228298611111112,0.7482638888888888,0.7348090277777778,6912,0.006887523,siglip_bce
1000,ViT-B-32,contrastive,0.5134548611111112,0.636791088,0.5114293981481481,0.5154803240740741,0.6375868055555556,0.6359953703703703,6912,3.665031909942627,clip_contrastive
1500,ViT-B-16,contrastive,0.6060474537037037,0.7286603009259259,0.6103877314814815,0.6017071759259259,0.7284432870370371,0.7288773148148148,6912,3.2437334060668945,clip_contrastive
1500,ViT-B-16-SigLIP2-256,contrastive,0.6315104166666666,0.748119213,0.6351273148148148,0.6278935185185185,0.7523148148148148,0.7439236111111112,6912,3.1747255325317383,clip_contrastive
1500,ViT-B-16-SigLIP2-256,siglip,0.6383101851851851,0.7489149305555556,0.6435185185185185,0.6331018518518519,0.7549189814814815,0.7429108796296297,6912,0.006517759,siglip_bce
1500,ViT-B-32,contrastive,0.5301649305555556,0.6571180555555556,0.5305266203703703,0.5298032407407407,0.6566840277777778,0.6575520833333334,6912,3.594860076904297,clip_contrastive
2000,ViT-B-16,contrastive,0.6223958333333333,0.7447916666666667,0.6244212962962963,0.6203703703703703,0.7497106481481481,0.7398726851851852,6912,3.215285539627075,clip_contrastive
2000,ViT-B-16-SigLIP2-256,contrastive,0.6391059027777778,0.7565104166666667,0.6385995370370371,0.6396122685185185,0.7595486111111112,0.7534722222222222,6912,3.130187511444092,clip_contrastive
2000,ViT-B-16-SigLIP2-256,siglip,0.6417824074074074,0.7561487268518519,0.6520543981481481,0.6315104166666666,0.7627314814814815,0.7495659722222222,6912,0.006719775,siglip_bce
2000,ViT-B-32,contrastive,0.5355179398148149,0.667896412,0.5347222222222222,0.5363136574074074,0.6681134259259259,0.6676793981481481,6912,3.5382494926452637,clip_contrastive
2500,ViT-B-16,contrastive,0.6323061342592593,0.7529658564814815,0.6346932870370371,0.6299189814814815,0.7549189814814815,0.7510127314814815,6912,3.1900827884674072,clip_contrastive
2500,ViT-B-16-SigLIP2-256,contrastive,0.6480758101851851,0.7632378472222222,0.6448206018518519,0.6513310185185185,0.7685185185185185,0.7579571759259259,6912,3.0655205249786377,clip_contrastive
2500,ViT-B-16-SigLIP2-256,siglip,0.6594328703703703,0.767650463,0.6643518518518519,0.6545138888888888,0.7743055555555556,0.7609953703703703,6912,0.005300659,siglip_bce
2500,ViT-B-32,contrastive,0.5519386574074074,0.6782407407407407,0.5578703703703703,0.5460069444444444,0.6833043981481481,0.6731770833333334,6912,3.5467939376831055,clip_contrastive
3000,ViT-B-16,contrastive,0.6198640046296295,0.7399450231481481,0.6166087962962963,0.6231192129629629,0.7374131944444444,0.7424768518518519,6912,3.2197866439819336,clip_contrastive
3000,ViT-B-16-SigLIP2-256,contrastive,0.6492332175925926,0.7652633101851851,0.6504629629629629,0.6480034722222222,0.7689525462962963,0.7615740740740741,6912,3.0591964721679688,clip_contrastive
3000,ViT-B-16-SigLIP2-256,siglip,0.6626157407407407,0.76953125,0.66796875,0.6572627314814815,0.7758969907407407,0.7631655092592593,6912,0.006067518,siglip_bce
3000,ViT-B-32,contrastive,0.5418836805555556,0.6736111111111112,0.5470196759259259,0.5367476851851852,0.6776620370370371,0.6695601851851852,6912,3.545682668685913,clip_contrastive
3500,ViT-B-16,contrastive,0.6286168981481481,0.7497106481481481,0.6251446759259259,0.6320891203703703,0.7475405092592593,0.7518807870370371,6912,3.157853126525879,clip_contrastive
3500,ViT-B-16-SigLIP2-256,contrastive,0.6505353009259259,0.771484375,0.6536458333333334,0.6474247685185185,0.7754629629629629,0.7675057870370371,6912,3.069864511489868,clip_contrastive
