step,model,loss_function,recall@5_mean,recall@10_mean,recall@5_text_to_image,recall@5_image_to_text,recall@10_text_to_image,recall@10_image_to_text,num_samples,loss,loss_type
0,ViT-B-16-SigLIP2-256,SIGLIP,0.5113,0.61845,0.5297,0.4929,0.6345,0.6024,6912,3.59264,siglip_bce
500,ViT-B-16-SigLIP2-256,SIGLIP,0.5959924768518519,0.7132523148148149,0.59765625,0.5943287037037037,0.7186053240740741,0.7078993055555556,6912,0.0071003851480782,siglip_bce
1000,ViT-B-16-SigLIP2-256,SIGLIP,0.6174768518518519,0.732494212962963,0.6184895833333334,0.6164641203703703,0.7365451388888888,0.7284432870370371,6912,0.0075907283462584,siglip_bce
1500,ViT-B-16-SigLIP2-256,SIGLIP,0.6321614583333333,0.7442853009259259,0.6371527777777778,0.6271701388888888,0.7491319444444444,0.7394386574074074,6912,0.0078491726890206,siglip_bce
2000,ViT-B-16-SigLIP2-256,SIGLIP,0.6412037037037037,0.7532552083333333,0.6484375,0.6339699074074074,0.7641782407407407,0.7423321759259259,6912,0.0079819960519671,siglip_bce
2500,ViT-B-16-SigLIP2-256,SIGLIP,0.654369212962963,0.7680121527777778,0.6636284722222222,0.6451099537037037,0.7750289351851852,0.7609953703703703,6912,0.007588779553771,siglip_bce
3000,ViT-B-16-SigLIP2-256,SIGLIP,0.6568287037037037,0.7693865740740741,0.6642071759259259,0.6494502314814815,0.7770543981481481,0.76171875,6912,0.0070572835393249,siglip_bce
3500,ViT-B-16-SigLIP2-256,SIGLIP,0.6608796296296297,0.7735821759259259,0.66796875,0.6537905092592593,0.7800925925925926,0.7670717592592593,6912,0.0070737269707024,siglip_bce
4000,ViT-B-16-SigLIP2-256,SIGLIP,0.6689814814814814,0.7788628472222222,0.6740451388888888,0.6639178240740741,0.7834201388888888,0.7743055555555556,6912,0.0065230904147028,siglip_bce
4500,ViT-B-16-SigLIP2-256,SIGLIP,0.6670283564814814,0.7804542824074074,0.6740451388888888,0.6600115740740741,0.7893518518518519,0.7715567129629629,6912,0.0055581545457243,siglip_bce
5000,ViT-B-16-SigLIP2-256,SIGLIP,0.6769386574074074,0.787037037037037,0.6785300925925926,0.6753472222222222,0.7897858796296297,0.7842881944444444,6912,0.0072153387591242,siglip_bce
5500,ViT-B-16-SigLIP2-256,SIGLIP,0.671802662037037,0.7802372685185186,0.6753472222222222,0.6682581018518519,0.7863136574074074,0.7741608796296297,6912,0.0064064529724419,siglip_bce
6000,ViT-B-16-SigLIP2-256,SIGLIP,0.6807002314814814,0.7919560185185186,0.6875,0.6739004629629629,0.7974537037037037,0.7864583333333334,6912,0.0072949104942381,siglip_bce
6500,ViT-B-16-SigLIP2-256,SIGLIP,0.6784577546296295,0.7915219907407407,0.6817129629629629,0.6752025462962963,0.7951388888888888,0.7879050925925926,6912,0.0060771042481064,siglip_bce
7000,ViT-B-16-SigLIP2-256,SIGLIP,0.6809895833333333,0.7954282407407407,0.6840277777777778,0.6779513888888888,0.8006365740740741,0.7902199074074074,6912,0.0057569765485823,siglip_bce
7500,ViT-B-16-SigLIP2-256,SIGLIP,0.6804108796296295,0.7923177083333334,0.6856192129629629,0.6752025462962963,0.7987557870370371,0.7858796296296297,6912,0.0058715483173727,siglip_bce
8000,ViT-B-16-SigLIP2-256,SIGLIP,0.68359375,0.7960069444444444,0.6827256944444444,0.6844618055555556,0.7999131944444444,0.7921006944444444,6912,0.0069061797112226,siglip_bce
8500,ViT-B-16-SigLIP2-256,SIGLIP,0.6838831018518519,0.8025896990740741,0.6838831018518519,0.6838831018518519,0.8068576388888888,0.7983217592592593,6912,0.0068093589507043,siglip_bce
9000,ViT-B-16-SigLIP2-256,SIGLIP,0.6809895833333333,0.7947048611111112,0.6818576388888888,0.6801215277777778,0.7971643518518519,0.7922453703703703,6912,0.0074127404950559,siglip_bce
9500,ViT-B-16-SigLIP2-256,SIGLIP,0.6759259259259259,0.7955729166666666,0.6750578703703703,0.6767939814814815,0.7955729166666666,0.7955729166666666,6912,0.0058840736746788,siglip_bce
10000,ViT-B-16-SigLIP2-256,SIGLIP,0.6848234953703705,0.798755787037037,0.6844618055555556,0.6851851851851852,0.8035300925925926,0.7939814814814815,6912,0.0060114753432571,siglip_bce
10500,ViT-B-16-SigLIP2-256,SIGLIP,0.6916956018518519,0.8075810185185185,0.6947337962962963,0.6886574074074074,0.8111979166666666,0.8039641203703703,6912,0.0072286105714738,siglip_bce
11000,ViT-B-16-SigLIP2-256,SIGLIP,0.6995804398148149,0.8106915509259259,0.7010995370370371,0.6980613425925926,0.8148148148148148,0.8065682870370371,6912,0.0080827819183468,siglip_bce
11250,ViT-B-16-SigLIP2-256,SIGLIP,0.6842447916666667,0.7978877314814814,0.6869212962962963,0.6815682870370371,0.8042534722222222,0.7915219907407407,6912,0.0070041241124272,siglip_bce
11500,ViT-B-16-SigLIP2-256,SIGLIP,0.6878616898148149,0.7986111111111112,0.6893807870370371,0.6863425925925926,0.8039641203703703,0.7932581018518519,6912,0.0066903354600071,siglip_bce
12000,ViT-B-16-SigLIP2-256,SIGLIP,0.687427662037037,0.8023003472222222,0.6890914351851852,0.6857638888888888,0.8057002314814815,0.7989004629629629,6912,0.0064230938442051,siglip_bce
12500,ViT-B-16-SigLIP2-256,SIGLIP,0.7007378472222222,0.8141637731481481,0.7055844907407407,0.6958912037037037,0.8178530092592593,0.8104745370370371,6912,0.0078762089833617,siglip_bce
